name,role,dependencies,operation,family,availability,formula,unit,missing_policy,invalid_policy,justification,variant
content_type,categorical,content_type,identity,raw,Configured cutoff input; historical availability unverified,content_type,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
main_intent,categorical,main_intent,identity,raw,Configured cutoff input; historical availability unverified,main_intent,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
model_used,categorical,model_used,identity,raw,Configured cutoff input; historical availability unverified,model_used,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
age_tier,categorical,age_tier,identity,raw,Configured cutoff input; historical availability unverified,age_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
freshness_tier,categorical,freshness_tier,identity,raw,Configured cutoff input; historical availability unverified,freshness_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
word_count_tier,categorical,word_count_tier,identity,raw,Configured cutoff input; historical availability unverified,word_count_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
char_count_tier,categorical,char_count_tier,identity,raw,Configured cutoff input; historical availability unverified,char_count_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
previous_ctr,numeric,"clicks_prev_30d,impressions_prev_30d",ratio,ratios,Previous observation period,clicks_prev_30d / impressions_prev_30d,numerator units per denominator unit,Undefined ratio remains missing with unavailable indicator; train median; empty fallback zero,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,B
previous_ctr_unavailable,numeric,"clicks_prev_30d,impressions_prev_30d",unavailable,ratios,Previous observation period,1 if source missing or denominator zero; else 0,binary,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,B
previous_sessions_per_click,numeric,"sessions_prev_30d,clicks_prev_30d",ratio,ratios,Previous observation period,sessions_prev_30d / clicks_prev_30d,numerator units per denominator unit,Undefined ratio remains missing with unavailable indicator; train median; empty fallback zero,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,B
previous_sessions_per_click_unavailable,numeric,"sessions_prev_30d,clicks_prev_30d",unavailable,ratios,Previous observation period,1 if source missing or denominator zero; else 0,binary,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,B
search_volume,numeric,search_volume,identity,raw,Configured cutoff input; historical availability unverified,search_volume,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
competition,numeric,competition,identity,raw,Configured cutoff input; historical availability unverified,competition,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
cpc,numeric,cpc,identity,raw,Configured cutoff input; historical availability unverified,cpc,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
word_count,numeric,word_count,identity,raw,Configured cutoff input; historical availability unverified,word_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
char_count,numeric,char_count,identity,raw,Configured cutoff input; historical availability unverified,char_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
impressions_prev_30d,numeric,impressions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,impressions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
clicks_prev_30d,numeric,clicks_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,clicks_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
sessions_prev_30d,numeric,sessions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,sessions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
content_age_days,numeric,content_age_days,identity,raw,Configured cutoff input; historical availability unverified,content_age_days,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
age_tier_order,numeric,age_tier_order,identity,raw,Configured cutoff input; historical availability unverified,age_tier_order,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
days_since_last_update,numeric,days_since_last_update,identity,raw,Configured cutoff input; historical availability unverified,days_since_last_update,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
competition_level,categorical,competition_level,identity,raw,Configured cutoff input; historical availability unverified,competition_level,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
content_type,categorical,content_type,identity,raw,Configured cutoff input; historical availability unverified,content_type,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
main_intent,categorical,main_intent,identity,raw,Configured cutoff input; historical availability unverified,main_intent,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
model_used,categorical,model_used,identity,raw,Configured cutoff input; historical availability unverified,model_used,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
age_tier,categorical,age_tier,identity,raw,Configured cutoff input; historical availability unverified,age_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
freshness_tier,categorical,freshness_tier,identity,raw,Configured cutoff input; historical availability unverified,freshness_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
word_count_tier,categorical,word_count_tier,identity,raw,Configured cutoff input; historical availability unverified,word_count_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
char_count_tier,categorical,char_count_tier,identity,raw,Configured cutoff input; historical availability unverified,char_count_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,C
previous_ctr,numeric,"clicks_prev_30d,impressions_prev_30d",ratio,ratios,Previous observation period,clicks_prev_30d / impressions_prev_30d,numerator units per denominator unit,Undefined ratio remains missing with unavailable indicator; train median; empty fallback zero,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,C
previous_ctr_unavailable,numeric,"clicks_prev_30d,impressions_prev_30d",unavailable,ratios,Previous observation period,1 if source missing or denominator zero; else 0,binary,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,C
previous_sessions_per_click,numeric,"sessions_prev_30d,clicks_prev_30d",ratio,ratios,Previous observation period,sessions_prev_30d / clicks_prev_30d,numerator units per denominator unit,Undefined ratio remains missing with unavailable indicator; train median; empty fallback zero,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,C
previous_sessions_per_click_unavailable,numeric,"sessions_prev_30d,clicks_prev_30d",unavailable,ratios,Previous observation period,1 if source missing or denominator zero; else 0,binary,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,C
log1p_search_volume,numeric,search_volume,log1p,logs,Inherits source availability,log1p(search_volume),log-transformed source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Test skew compression without deleting source counts,C
log1p_cpc,numeric,cpc,log1p,logs,Inherits source availability,log1p(cpc),log-transformed source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Test skew compression without deleting source counts,C
log1p_word_count,numeric,word_count,log1p,logs,Inherits source availability,log1p(word_count),log-transformed source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Test skew compression without deleting source counts,C
log1p_char_count,numeric,char_count,log1p,logs,Inherits source availability,log1p(char_count),log-transformed source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Test skew compression without deleting source counts,C
log1p_impressions_prev_30d,numeric,impressions_prev_30d,log1p,logs,Inherits source availability,log1p(impressions_prev_30d),log-transformed source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Test skew compression without deleting source counts,C
log1p_clicks_prev_30d,numeric,clicks_prev_30d,log1p,logs,Inherits source availability,log1p(clicks_prev_30d),log-transformed source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Test skew compression without deleting source counts,C
log1p_sessions_prev_30d,numeric,sessions_prev_30d,log1p,logs,Inherits source availability,log1p(sessions_prev_30d),log-transformed source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Test skew compression without deleting source counts,C
search_volume,numeric,search_volume,identity,raw,Configured cutoff input; historical availability unverified,search_volume,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
competition,numeric,competition,identity,raw,Configured cutoff input; historical availability unverified,competition,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
cpc,numeric,cpc,identity,raw,Configured cutoff input; historical availability unverified,cpc,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
word_count,numeric,word_count,identity,raw,Configured cutoff input; historical availability unverified,word_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
char_count,numeric,char_count,identity,raw,Configured cutoff input; historical availability unverified,char_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
impressions_prev_30d,numeric,impressions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,impressions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
clicks_prev_30d,numeric,clicks_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,clicks_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
sessions_prev_30d,numeric,sessions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,sessions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
content_age_days,numeric,content_age_days,identity,raw,Configured cutoff input; historical availability unverified,content_age_days,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
days_since_last_update,numeric,days_since_last_update,identity,raw,Configured cutoff input; historical availability unverified,days_since_last_update,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
competition_level,categorical,competition_level,identity,raw,Configured cutoff input; historical availability unverified,competition_level,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
content_type,categorical,content_type,identity,raw,Configured cutoff input; historical availability unverified,content_type,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
main_intent,categorical,main_intent,identity,raw,Configured cutoff input; historical availability unverified,main_intent,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
model_used,categorical,model_used,identity,raw,Configured cutoff input; historical availability unverified,model_used,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,D
previous_ctr,numeric,"clicks_prev_30d,impressions_prev_30d",ratio,ratios,Previous observation period,clicks_prev_30d / impressions_prev_30d,numerator units per denominator unit,Undefined ratio remains missing with unavailable indicator; train median; empty fallback zero,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,D
previous_ctr_unavailable,numeric,"clicks_prev_30d,impressions_prev_30d",unavailable,ratios,Previous observation period,1 if source missing or denominator zero; else 0,binary,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,D
previous_sessions_per_click,numeric,"sessions_prev_30d,clicks_prev_30d",ratio,ratios,Previous observation period,sessions_prev_30d / clicks_prev_30d,numerator units per denominator unit,Undefined ratio remains missing with unavailable indicator; train median; empty fallback zero,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,D
previous_sessions_per_click_unavailable,numeric,"sessions_prev_30d,clicks_prev_30d",unavailable,ratios,Previous observation period,1 if source missing or denominator zero; else 0,binary,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,D
search_volume,numeric,search_volume,identity,raw,Configured cutoff input; historical availability unverified,search_volume,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
competition,numeric,competition,identity,raw,Configured cutoff input; historical availability unverified,competition,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
cpc,numeric,cpc,identity,raw,Configured cutoff input; historical availability unverified,cpc,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
word_count,numeric,word_count,identity,raw,Configured cutoff input; historical availability unverified,word_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
char_count,numeric,char_count,identity,raw,Configured cutoff input; historical availability unverified,char_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
impressions_prev_30d,numeric,impressions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,impressions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
clicks_prev_30d,numeric,clicks_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,clicks_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
sessions_prev_30d,numeric,sessions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,sessions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
content_age_days,numeric,content_age_days,identity,raw,Configured cutoff input; historical availability unverified,content_age_days,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
age_tier_order,numeric,age_tier_order,identity,raw,Configured cutoff input; historical availability unverified,age_tier_order,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
days_since_last_update,numeric,days_since_last_update,identity,raw,Configured cutoff input; historical availability unverified,days_since_last_update,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
competition_level,categorical,competition_level,identity,raw,Configured cutoff input; historical availability unverified,competition_level,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
content_type,categorical,content_type,identity,raw,Configured cutoff input; historical availability unverified,content_type,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
main_intent,categorical,main_intent,identity,raw,Configured cutoff input; historical availability unverified,main_intent,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
age_tier,categorical,age_tier,identity,raw,Configured cutoff input; historical availability unverified,age_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
freshness_tier,categorical,freshness_tier,identity,raw,Configured cutoff input; historical availability unverified,freshness_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
word_count_tier,categorical,word_count_tier,identity,raw,Configured cutoff input; historical availability unverified,word_count_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
char_count_tier,categorical,char_count_tier,identity,raw,Configured cutoff input; historical availability unverified,char_count_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,E
previous_ctr,numeric,"clicks_prev_30d,impressions_prev_30d",ratio,ratios,Previous observation period,clicks_prev_30d / impressions_prev_30d,numerator units per denominator unit,Undefined ratio remains missing with unavailable indicator; train median; empty fallback zero,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,E
previous_ctr_unavailable,numeric,"clicks_prev_30d,impressions_prev_30d",unavailable,ratios,Previous observation period,1 if source missing or denominator zero; else 0,binary,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,E
previous_sessions_per_click,numeric,"sessions_prev_30d,clicks_prev_30d",ratio,ratios,Previous observation period,sessions_prev_30d / clicks_prev_30d,numerator units per denominator unit,Undefined ratio remains missing with unavailable indicator; train median; empty fallback zero,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,E
previous_sessions_per_click_unavailable,numeric,"sessions_prev_30d,clicks_prev_30d",unavailable,ratios,Previous observation period,1 if source missing or denominator zero; else 0,binary,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Historical efficiency and unavailable-history signal,E
